"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'swedish electropop', 'swedish pop', 'swedish synthpop']",4peREFmCmorpamBv2sutNN,Love Ballad,0.00677,0.0437,0.787,-4.029,0.879,0.107,0.695,111.984,0.0612,0,210187,4,6
"['hardstyle', 'rawstyle']",0YgckJjQcfqX7kvLbYC65Z,Raindropz - Extended Version,0.28,0.693,0.374,-4.622,0.981,0.089,0.595,149.987,0.0765,1,303525,4,0
"['samba', 'velha guarda']",0WeVafNJ9RG1mGAHbDkXeT,Alvorada,0.987,0.84,0.901,-13.685,0.494,0.0907,0.699,123.617,0.153,0,152398,4,3
"['anime', 'anime score', 'j-pop', 'j-rock', 'otacore']",5hkOEHYvyryYMxMb4s44kG,Sandpiper,0.0722,3.19e-05,0.34,-7.492,0.572,0.102,0.481,144.047,0.0335,0,363053,4,11
"['axe', 'mpb', 'pagode', 'sertanejo']",1pACfJRl09kvx8Rm3aGXLG,Clarear - (Ao Vivo) [Bônus],0.0271,0.0,0.794,-7.933,0.915,0.813,0.479,155.159,0.0598,0,234200,4,1
"['dance pop', 'edm', 'tropical house']",5FNjliSVyuRrxjqVUPGUZ2,I'm on You - DJ Antoine & Mad Mark Video Re-Construction,0.0246,1.83e-05,0.76,-5.311,0.664,0.288,0.715,122.95,0.0328,0,238349,4,6
"['jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz']",1ssNicUXpTdQg6vRt1Xjpg,Love Me As Though There Were No Tomorrow,0.923,0.925,0.143,-21.518,0.159,0.101,0.528,86.336,0.0423,0,362027,4,11
"['alternative country', 'deep new americana', 'folk-pop', 'funk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'new americana', 'pop rock', 'roots rock', 'stomp and holler']",19QpyXIcUdUFPod6oAnCF7,Side Effects,0.0634,0.0561,0.148,-11.069,0.348,0.0947,0.513,139.396,0.0271,1,342040,4,0
"['celtic', 'celtic rock', 'new age']",2z0DGmzu3ubUjjIieL7IOe,Both Sides Now,0.926,1.19e-06,0.139,-12.687,0.221,0.0852,0.405,79.706,0.0318,1,284907,4,7
"['french hip hop', 'trap francais']",3g8j7cRehYGdjq96EYxoIn,Coupé décalaminé,0.506,0.000158,0.752,-5.771,0.784,0.124,0.68,152.287,0.15,1,178495,4,11
"['bow pop', 'compositional ambient', 'french soundtrack']",2rSQ624tSyY1XPJJxVaDJn,Father Is Late,0.993,0.78,0.158,-18.467,0.056,0.109,0.659,59.991,0.0394,0,92000,4,0
"['album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",2SGlg9Zqq5OcRxVmSVQiRa,Ain't No Love in the Heart of the City (Bonus Track) [Edited from Album Version] - Live,0.0155,0.00247,0.559,-5.886,0.698,0.962,0.421,128.426,0.0326,0,232013,4,9
"['banda', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']",3mcNg1MlG3OP2Lfsnsm9mG,Lo Legal - Versión Mariachi,0.44,0.0,0.413,-7.298,0.373,0.207,0.518,95.011,0.028,1,200960,3,0
